state,year,State Code,Region,population,population ratio,population  region ratio,area,area density,land,land density,water,water density
Oklahoma,2012,OK,South,3818814,0.012168378,0.032572285,181037,20.76892569,177660,20.38150951,3377,0.387416175
Oregon,2012,OR,West,3899001,0.012423888,0.053063643,254799,15.06085581,248608,14.69491341,6191,0.365942403
Pennsylvania,2012,PA,Northeast,12767118,0.040681508,0.228903067,119280,106.5657277,115883,103.5308201,3397,3.034907587
Rhode Island,2012,RI,Northeast,1054621,0.003360474,0.018908416,4001,263.423894,2678,176.3182175,1324,87.17151604
South Carolina,2012,SC,South,4717354,0.015031511,0.040236313,82933,55.89631389,77857,52.47512222,5076,3.421191677
South Dakota,2012,SD,Midwest,833566,0.002656098,0.012379066,199729,4.086367027,196350,4.017234181,3379,0.069132846
Tennessee,2012,TN,South,6453898,0.020564884,0.055048034,109153,58.22387841,106798,56.96768542,2355,1.256192992
Texas,2012,TX,South,26084481,0.083116333,0.222485604,695662,36.28482079,676587,35.28989372,19075,0.994927072
Utah,2012,UT,West,2853375,0.009092075,0.038833146,219882,12.62191539,212818,12.21641967,7064,0.405495722
Vermont,2012,VT,Northeast,626090,0.001994991,0.011225237,24906,25.12964747,23871,24.08535352,1035,1.044293951
Virginia,2012,VA,South,8185080,0.026081172,0.06981402,110787,72.42455342,102279,66.86263641,8508,5.561917017
Washington,2012,WA,West,6897058,0.021976982,0.093865846,184661,36.51464034,172119,34.0346006,12542,2.480039744
West Virginia,2012,WV,South,1856872,0.00591679,0.015838049,62756,29.54680031,62259,29.3128026,497,0.233997701
Wisconsin,2012,WI,Midwest,5719960,0.018226243,0.084945599,169635,33.54540631,140268,27.73806734,29367,5.807338976
Wyoming,2012,WY,West,576305,0.001836355,0.007843251,253335,2.228223499,251470,2.211819777,1864,0.016394926
Alabama,2013,AL,South,4830081,0.01528537,0.040806873,135767,35.2474239,131171,34.05422407,4597,1.193459439
Alaska,2013,AK,West,737068,0.00233254,0.009937933,1723337,0.41426024,1477953,0.355274195,245384,0.058986046
Arizona,2013,AZ,West,6632764,0.020990177,0.089429967,295234,21.70201264,294207,21.62652009,1026,0.07541904
Arkansas,2013,AR,South,2959400,0.009365376,0.02500245,137732,21.21485203,134771,20.75876937,2961,0.45608266
California,2013,CA,West,38260787,0.121080848,0.515872557,423967,88.02454436,403466,83.7681018,20501,4.256442563
Colorado,2013,CO,West,5269035,0.016674493,0.071042725,269601,18.72155148,268431,18.64030469,1170,0.081246788
Connecticut,2013,CT,Northeast,3594841,0.011376305,0.064306348,14357,249.2940029,12542,217.7784624,1816,31.53290446
Delaware,2013,DE,South,923576,0.002922767,0.007802819,6446,139.5583307,5047,109.2694532,1399,30.28887755
District of Columbia,2013,DC,South,650581,0.002058842,0.005496425,177,3419.355932,158,3052.306425,19,367.0495068
Florida,2013,FL,South,19545621,0.061854461,0.165130909,170312,110.6530192,138887,90.23595444,31424,20.41641502
Georgia,2013,GA,South,9972479,0.031559106,0.084252351,153910,63.10103957,148959,61.07119585,4951,2.02984372
Hawaii,2013,HI,West,1408243,0.004456554,0.018987427,28313,48.17444284,16635,28.30437808,11678,19.87006476
Idaho,2013,ID,West,1611206,0.005098855,0.02172399,216443,7.257088471,214045,7.176686249,2398,0.080402222
Illinois,2013,IL,Midwest,12895129,0.040808182,0.190868216,149995,85.60620687,143793,82.06655759,6202,3.539649289
Indiana,2013,IN,Midwest,6568713,0.02078748,0.097227296,94326,68.80851515,92789,67.68731116,1537,1.121203992
Iowa,2013,IA,Midwest,3092997,0.00978816,0.045781226,145746,20.93192952,144669,20.7772516,1077,0.15467792
Kansas,2013,KS,Midwest,2893212,0.009155916,0.042824094,213100,13.41243548,211754,13.32771873,1346,0.084716744
Kentucky,2013,KY,South,4404659,0.013939072,0.037212701,104656,41.5473647,102269,40.59975004,2387,0.947614657
Louisiana,2013,LA,South,4624527,0.01463487,0.039070253,135659,33.49967197,111898,27.63212389,23761,5.867548085
